spend time: 11, cur_state: 30, cur_clip:30
spend time: 11, cur_state: 30, cur_clip:30
spend time: 11, cur_state: 30, cur_clip:30
spend time: 11, cur_state: 30, cur_clip:30
spend time: 11, cur_state: 30, cur_clip:30
spend time: 11, cur_state: 30, cur_clip:30
spend time: 11, cur_state: 31, cur_clip:8
spend time: 11, cur_state: 31, cur_clip:8
spend time: 11, cur_state: 31, cur_clip:8
spend time: 11, cur_state: 31, cur_clip:8
spend time: 11, cur_state: 31, cur_clip:8
spend time: 11, cur_state: 31, cur_clip:8
spend time: 11, cur_state: 31, cur_clip:16
spend time: 11, cur_state: 31, cur_clip:16
spend time: 11, cur_state: 31, cur_clip:16
spend time: 11, cur_state: 31, cur_clip:16
spend time: 11, cur_state: 31, cur_clip:16
spend time: 11, cur_state: 32, cur_clip:32
spend time: 11, cur_state: 32, cur_clip:32
spend time: 11, cur_state: 32, cur_clip:32
spend time: 11, cur_state: 32, cur_clip:32
spend time: 11, cur_state: 32, cur_clip:32
spend time: 11, cur_state: 32, cur_clip:32
spend time: 11, cur_state: 32, cur_clip:32
spend time: 11, cur_state: 32, cur_clip:32
spend time: 11, cur_state: 33, cur_clip:11
spend time: 11, cur_state: 33, cur_clip:11
spend time: 11, cur_state: 33, cur_clip:11
spend time: 11, cur_state: 33, cur_clip:11
spend time: 11, cur_state: 33, cur_clip:11
spend time: 11, cur_state: 33, cur_clip:11
spend time: 11, cur_state: 33, cur_clip:11
spend time: 11, cur_state: 34, cur_clip:17
spend time: 11, cur_state: 34, cur_clip:17
spend time: 11, cur_state: 34, cur_clip:17
spend time: 11, cur_state: 34, cur_clip:17
spend time: 11, cur_state: 34, cur_clip:17
spend time: 11, cur_state: 35, cur_clip:9
spend time: 11, cur_state: 35, cur_clip:9
spend time: 11, cur_state: 35, cur_clip:9
spend time: 11, cur_state: 35, cur_clip:12
spend time: 11, cur_state: 35, cur_clip:12
spend time: 11, cur_state: 35, cur_clip:12
spend time: 11, cur_state: 35, cur_clip:12
spend time: 11, cur_state: 35, cur_clip:12
spend time: 11, cur_state: 35, cur_clip:12
spend time: 11, cur_state: 35, cur_clip:12
spend time: 11, cur_state: 35, cur_clip:12
spend time: 11, cur_state: 35, cur_clip:12
spend time: 11, cur_state: 35, cur_clip:12
spend time: 11, cur_state: 35, cur_clip:18
spend time: 11, cur_state: 35, cur_clip:18
spend time: 11, cur_state: 35, cur_clip:18
spend time: 11, cur_state: 36, cur_clip:6
spend time: 11, cur_state: 36, cur_clip:6
spend time: 11, cur_state: 36, cur_clip:12
spend time: 11, cur_state: 36, cur_clip:12
spend time: 11, cur_state: 36, cur_clip:18
spend time: 11, cur_state: 36, cur_clip:18
spend time: 11, cur_state: 36, cur_clip:36
spend time: 11, cur_state: 36, cur_clip:36
spend time: 11, cur_state: 36, cur_clip:36
spend time: 11, cur_state: 36, cur_clip:36
spend time: 11, cur_state: 36, cur_clip:36
spend time: 11, cur_state: 36, cur_clip:36
spend time: 11, cur_state: 36, cur_clip:36
spend time: 11, cur_state: 36, cur_clip:36
spend time: 11, cur_state: 36, cur_clip:36
spend time: 11, cur_state: 40, cur_clip:8
spend time: 11, cur_state: 40, cur_clip:8
spend time: 11, cur_state: 40, cur_clip:8
spend time: 11, cur_state: 40, cur_clip:10
spend time: 11, cur_state: 40, cur_clip:10
spend time: 11, cur_state: 40, cur_clip:20
spend time: 11, cur_state: 40, cur_clip:20
spend time: 11, cur_state: 40, cur_clip:20
spend time: 11, cur_state: 40, cur_clip:20
spend time: 11, cur_state: 40, cur_clip:20
spend time: 11, cur_state: 45, cur_clip:9
spend time: 11, cur_state: 45, cur_clip:15
spend time: 11, cur_state: 45, cur_clip:15
spend time: 11, cur_state: 48, cur_clip:12
spend time: 11, cur_state: 48, cur_clip:12
spend time: 11, cur_state: 48, cur_clip:12
spend time: 11, cur_state: 48, cur_clip:12
spend time: 11, cur_state: 48, cur_clip:12
